-20,-2,9
-21,-6,6
-28,-9,6
-29,-17,7
-29,-36,24
-33,-47,27
-60,-50,-9
-128,-61,-47
-128,-57,-25
-103,-36,-15
-97,-33,-27
-61,-26,-9
-37,-21,11
-20,-21,31
-20,-24,30
-16,-21,23
-15,-20,21
-12,-24,18
-8,-28,20
-9,-31,23
-12,-35,20
-23,-39,10
-45,-45,-8
-57,-43,-5
-61,-43,-14
-63,-47,-22
-81,-45,-25
-81,-42,-24
-70,-34,-22
-65,-34,-24
-65,-35,-29
-69,-26,-29
-66,-20,-24
-55,-16,-18
-52,-17,-17
-52,-17,-18
-52,-18,-19
-55,-18,-21
-55,-19,-23
-53,-21,-23
-54,-23,-20
-54,-24,-21
-54,-24,-23
-58,-26,-23
-62,-26,-20
-59,-26,-18
-68,-26,-35
-73,-19,-33
-67,-17,-14
-60,-16,-10
-67,-19,-22
-64,-19,-19
-62,-21,-16
-54,-21,-14
-58,-21,-19
-56,-21,-12
-56,-20,-12
-52,-26,-14
-48,-23,-11
-50,-25,-11
-52,-26,-16
-56,-26,-16
-60,-27,-19
-62,-25,-25
-59,-23,-32
-62,-24,-36
-53,-20,-23
-54,-22,-25
-53,-24,-36
-53,-21,-37
-55,-13,-25
-56,-15,-26
-50,-17,-33
-46,-14,-26
-47,-15,-26
-44,-17,-33
-43,-16,-36
-48,-15,-32
-45,-14,-32
-37,-9,-46
-45,-4,-38
-47,-6,-37
-42,-7,-45
-39,-12,-56
-54,-4,-54
-58,0,-56
-65,2,-60
-63,3,-52
-62,3,-44
-58,-2,-40
-53,-4,-20
-56,-6,-23
-42,-13,-28
-40,-2,-13
-37,13,-1
-39,16,-11
-38,21,-9
-61,25,-6
-64,23,-6
-46,31,7
-52,36,8
-64,43,0
-59,47,-5
-28,62,9
-29,75,12
-60,82,-14
-56,81,-15
-45,78,-14
-42,70,-20
-35,67,-17
-39,62,-17
-45,58,-21
-31,53,-23
-25,51,-16
-27,46,-10
-31,45,-12
-13,35,-2
-10,19,28
-29,32,35
-32,63,41
-32,62,29
-15,68,28
-24,64,30
-48,84,7
-34,92,0
-31,94,9
-26,90,9
-13,59,-8
-19,35,-3
-20,34,6
-18,34,15
-4,26,14
-19,25,1
-29,30,8
-55,44,2
-55,49,3
-46,57,20
-67,68,11
-73,71,-16
-30,66,-15
-11,57,-11
-24,46,-9
-34,43,-12
-46,43,-20
-41,43,-19
-28,44,-14
-24,40,-20
-29,51,-21
-39,59,-23
-49,70,-24
-27,76,-10
-27,73,-19
-21,57,-19
-20,51,-20
-41,46,-25
-44,47,-24
-11,54,-18
-33,54,-24
-14,49,-13
-45,61,-42
-33,62,-29
-25,59,-20
-30,55,-23
-50,66,-30
-47,68,-33
-34,65,-29
-36,69,-25
-52,66,-15
-56,66,-13
-57,67,-8
-33,54,4
-35,55,6
-35,57,6
-28,51,9
-36,58,18
-15,48,33
-10,37,41
-11,26,37
-21,14,23
-27,10,17
-46,5,15
-39,9,23
-33,21,35
-44,26,37
-52,25,34
-56,27,30
-53,26,30
-51,25,38
-57,28,35
-62,13,29
-72,14,37
-70,10,39
-68,5,31
-62,0,19
-53,-10,-11
-65,-18,-29
-66,-10,-23
-72,-4,-14
-79,6,-1
-61,8,2
-54,10,-3
-59,11,-6
-67,11,-2
-45,16,20
-47,16,13
-60,2,-1
-59,2,-3
-60,-1,4
-64,-2,2
-61,1,2
-53,0,6
-64,6,-1
-62,5,-7
-57,4,-7
-63,9,-27
-75,11,-34
-69,9,-40
-61,8,-45
-52,8,-43
